SUPPLIER NAME,MOBILE,EMAIL,PHONE,GST NUMBER,TAX NUMBER,COUNTRY,STATE,POSTCODE,ADDRESS,OPENING BALANCE
G K ENTERPRISES,8080776628,gkent930@gmail.com,,27AALFG9235E1Z8,,INDIA,Maharashtra,400070,"92B-1A, VISARIA SADAN, OPP. ANJUMAN SCHOOL, BELGRAMI ROAD, KURLA WEST",
NOBLE MARKETING,9930822537,,,27BSXPS9318H1ZR,,INDIA,Maharashtra,400104,"169/1349, MOTILAL NAGAR NO.1, GOREGAON WEST",
MAHAVIR MARKETING,9867301748,narendrakoradia@yahoo.co.in,,27AJWPK6652K1ZD,,INDIA,Maharashtra,400097,"SHOP 1/7, THE MALAD CO-OP HSG SOCIETY, PODDAR ROAD,MALAD EAST",
UNIAIR REFRIGERATION CORPORATION,1234567890,uniairref@gmail.com,,27AAAFU1018J1ZD,,INDIA,Maharashtra,400058,"PLOT NO.10, GROUND FLOOR KAILASHPATI, BUILDING VEERA DESAI ROAD, ANDHERI-WEST",
ITC LIMITED,112345678,,,27AAACI5950L1ZA,,INDIA,Maharashtra,410208,"FACT. ADD- VIRGINIA HOUSE,37,J.L.NEHRU ROAD, KOLKATA-7000071                                                                    PLOT NO.-T3/2, MIDC, TALOJA-PANVEL, RAIGAD",
RAKESH R. TRADERS,11223344,rs553547@gmail.com,,27AGWPP1465C1Z3,,INDIA,Maharashtra,400093,"14, BASTAW CHAWL, SHANTI NAGAR, MAHAKALI CAVES ROAD, ANDHERI EAST",
HONEY FOODS,11111111,,,27DOVPD0119L1Z9,,INDIA,Maharashtra,400069,"SHOP NO 1, SIDHANT COMPLEX, OFF OLD NAGARDAS ROAD, ANDHERI EAST",
HALAL FOODS,8879967756,,,,,INDIA,Maharashtra,400088,"1ST FLOOR, ROYAL PALACE HALL, PAILIPADA, TROMBAY",
NARAYAN SALES CORPORATION,2226878015,nescorp@gmail.com,,27AOWPS9274E1Z0,,INDIA,Maharashtra,400093,"DAMJI SHAMJI IND. PREMISES CO-OP SOCIETY LTD. 1ST FLOOR, 103, NEAR BMW SERVICE CENTRE,28, MAHAL INDL ESTATE, MAHAKALI ROAD, ANDHERI EAST",
TJUK TRADE NETWORKS PVT. LTD.,2267877777,sales@tjuk.in,,27AACCT0200E1Z3,,INDIA,Maharashtra,400043," HEAD OFF- PLOT NO.55,HINDUSTAN BIOLOGICALS, NEAR BMC WARD OFFICE, WOMAN PATIL MARG,NEXT TO DEONAR WEIGH BRIDGE,OFF GHATKOPAR-MANKHURD LINK ROAD",
ZORABIAN,1111111111,zorabianfoods@gmail.com,,27AAAFZ5877G1ZO,,INDIA,Maharashtra,400054,"G-9, C-WING, PIONEER HERITAGE RESIDENCY 1, SANTACRUZ(W)",
SETHWALA FOODS LIMITED,9833433854,mk.sethwala@gmail.com,,27AAICS9356G,,INDIA,Maharashtra,401606,"SETHWALA ESTATE, BEHIND HOTEL NILGIRI, N H 8,VILLAGE VADOLI,TAL-TALASARI,DIST-PALGHAR",
QUICK BITE MARKETING,0,,,27BHGPC3333L1ZF,,INDIA,Maharashtra,400104,"10/71 MOTILAL NAGAR 3, M G ROAD, GOREGAON WEST",
MAA KALI AGENCY,9702099287,maakali17agency@gmail.com,,27AKFPB3371A1ZS,,INDIA,Maharashtra,400093,"6TH FLOOR.A11,ROOM NO 56,SHAHID BHAGAT CHS LTD, BINDRA COMPLEX",
FRESHERO AGRO PVT LTD,9930362234,info@fresheragro.in,,27AADCF5427G1ZP,,INDIA,Maharashtra,400068,"SHOP NO.12 & 13, DEV AASHISH BUILDING,OPP.BHARUCHA DAIRY. NEAR DAHISAR STATION ROAD, DAHISAE EAST",
CPF(INDIA)  PRIVATE LIMITED,1111222233,,,27AAACC4209Q1ZG,,INDIA,Maharashtra,410208,"PANVEL-TALOJA INDUSTRIAL AREA,PLOT NO M-8 TALOJA MIDC,NAVI MUMBAI RAIGAD",
GADRE MARINE EXPORT PVT LTD,1212121212,indiasales@gadremarine.com,,27AABCG4138R1Z5,,INDIA,Maharashtra,415639,"PLOT NO.FP-1, MIDC(MIRJOLE BLOCK),",
VENKYS INDIA LIMITED,22872418,,,27AAACW1300L1ZK,,INDIA,Maharashtra,400021,"153-C,MITTAL TOWER, NARIMAN POINT",
ABHINANDAN DISTRIBUTORS,9820068535,hiren_gada@gmail.com,,27AANFA6218M1Z2,,INDIA,Maharashtra,40007,"6/17,BLDG NO.13AB,SAMHITA COMMERCIAL COMPLEX,OFF A.K ROAD,SAKINAKA, ANDHERI EAST",
SWAPNA ENTERPRISE,8689848815,swapnaenterprise16@gmail.com,,27GHAPS4183R1ZE,,INDIA,Maharashtra,400093,"BINDRA COMPLEX,BUILDING NO 11/A, ROOM NO. 56, MAHAKALI CAVES ROAD, ANDHERI EAST",
A A SERVICES,9819102316,aaservicesmumbai@gmail.com,,27APQPK4573F2ZH,,INDIA,Maharashtra,400068,"SHOP NO.1,SHASHI THAKUR COMPOUND, B.P.ROAD,OPP RBI QUARTER, DAHISAR WEST",
SHREE DATTA TRAY TRADING CO,9930970208,sdtco1976@gmail.com,,27AFPPB2892F1ZB,,INDIA,Maharashtra,401107,"DIAMOND PRINCE CITY CHSL,FLAT NO.003,NEAR MIG COMPLEX,OFF MIRA BHAYANDAR ROAD,MIRA ROAD EAST",
ANJANI ENTERPRISE,8490841851,anjanient22@gmail.com,,24CLIPM0295C1ZB,,INDIA,Gujarat,380016,"B29, CITY CENTER,PREM DARWAJA ROAD,NEAR ARARWA BRIDGE, IDDGA CIRCLE ASARWA",
DISHA AGRO AND FOODS PRIVATE LIMITED,9923042387,,,27AAHCD8474D1ZG,,INDIA,Maharashtra,,"DINDORI_701, MHCG1074, MHCG1074, TRIMBAKESHWAR RANGE",
VAISHALI ENTERPRISES,9150089452,,,27ESYPB3514G1ZK,,INDIA,Maharashtra,4000060,"SHOP NO.2,GROUND FLOOR,SHITLA DEVI CHSL,JANTA COLONY,JOGESHWARI EAST",
S.S.V DISTRIBUTORS INDIA PVT. LTD.,2200000000,orderdesk@ssvdistributors.com,,27AAXCS9818A1ZT,,INDIA,Maharashtra,4000037,"C-031,ANTOPHILL WAREHOUSING CO. LTD.,BARKAT ALI DARGAH RD,ANTOPHILL",
PARADISE APIARY FARM,224245242,pureberrys@gmail.com,,27ACTPM6953H1ZW,,INDIA,Maharashtra,412805,"MUMBAI NODAL DIVISION-1, MH005, VN0501, RANGE-I",
JAIN DUGDHALAY,9820934107,jain.corporation@yahoo.com,,27AIZPG6478P1ZY,,INDIA,Maharashtra,400066,"SHOP NO.8,THE WINDSOR,NEAR NG SUNCITY, THAKUR VILLAGE,KANDIVALI",
CHIC AGENCIES,9820054655,sales@chicagencies.com,,27AAHPP7371G1ZD,,INDIA,Maharashtra,4000062,"7, UDYOG NAGAR. GALA NO 17, NEAR KAMAT CLUB, S V ROAD,GOREGAON WEST",
DUKS FOODS,2211112222,duksfoods@gmail.com,,27AAVFD2819D1ZB,,INDIA,Maharashtra,421302,"HARI HAR COMPLEX,BULDING A14,GALA 19,DAPODA VILLEGE,NEAR INDIAN OIL PETROL PUMP,MANKOLI NAKA,BHIWANDI,THANE",
EMPIRE FOODS,66555453,sales@empirefoods.co.in,,27AAACE2757R2Z2,,INDIA,Maharashtra,400013,"EMPIRE COMPLEX,414,SENAPATI BAPAT MARG,LOWER PAREL",
ARIHANT ENTERPRISES,9137399476,arihantenterprises448@gmail.com,,27BAIPJ7361J1ZC,,INDIA,Maharashtra,400067,"SHOP NO 115(2),SAIDHAM NAGAR,OPP. SARASWATI HOSPITAL,KANDIVALI(W)",
ASHISH ENTERPRISES,9987164831,ashishenterprises.ap@gmail.com,,27DDPPP9380H1ZP,,INDIA,Maharashtra,401107,"GALA NO.B2,BHARAT COMPOUND,OPP DODIA PETROL PUMP,NR DHARAS DHABA,KASHMIR MIRA ROAD",
AMIT VIRA & CO.,2223725699,amitvira.av@gmail.com,,27AABPV4721A1Z1,,INDIA,Maharashtra,400003,"BARIA BLDG PINJARI STR,CROWFORD MKT",
GENEX MARKETING,1122121212,sales@genexmarketing.co.in,,27AVFPS8618E1Z9,,INDIA,Maharashtra,4000072,"GROUND FLOOR,UNIT NO.02,C WING,TEX CENTRE PREMISES CO-OP SOCIETY LTD.,CHANDIVALI ANDHERI ROAD,SAKIVIHAR,SAKINAKA ANDHERI EAST",
DZYRIS FROZEN FOODS PVT. LTD.,9930973001,accounts@dzyris.in,,27AAJCD8219Q1ZW,,INDIA,Maharashtra,401208,"SHOP NO.8,ARIHANT INDUSTRIAL ESTATE,KAMAN BHIWANDI ROAD,MORI GAON,",
OWAIZ ENTERPRISES,8080698515,,,27KFDPS0575C1ZA,,INDIA,Maharashtra,400069,"MOGRA PADA,NIKUNJ",
PERCOCTUM FOODS PVT LTD,223334444,opulencefood@gmail.com,,27AANCP8460F1Z0,,INDIA,Maharashtra,400064,"3040 RUSTOMJEE EAZE ZONE, GMLR, NEAR GOREGAON MTNL, MALAD WEST",
AIBANI TRADING,9920634998,yasinaibani03@gmail.com,,27AUEPA0063D1ZD,,INDIA,Maharashtra,400058,507 ASHIYANA SRA C H S BEHIND FISH MARKET S V ROAD ANDHERI WEST,
APRIL3RD FOODS PRIVATE LIMITED,1236547810,accounts@april3rdfoods.com,,29AAYCA6430H1Z6,,INDIA,Karnataka,560100,UNIWORD BLG NEELADRI NAGAR PHASE 1 ELECTRINIK CITY,
AUGUST ASSORTMENTS PVT LTD,2222222222,contactus@augustassortments.com,,27AASCA3355K1Z7,,INDIA,Maharashtra,400710,"A-175,TTC INDUSTRIAL AREA,MIDC VILLAGE KHAIRANE ROAD,KOPARKHAIRANE,THANE",
AMAR FOOD PRODUCTS,123456788,porbandar@hiravati.com,,24AAYFA9425B2ZC,,INDIA,Gujarat,360575,JAWAR NAKA PORBANDAR,
M/S.SHREE SAI AGENCY,7208555456,shreesaiagency1947@gmail.com,,27ADDFS6163Q1ZC,,INDIA,Maharashtra,400057,"SHOP:-5&6, SADANAND RD,OPP. SAI BABA TEMPLE, VILE PARLE EAST",
WOLDKO TRADING,9988661099,woldkotrading@gmail.com,,27BADPV3088D1ZI,,INDIA,Maharashtra,400102,"FLAT NO.31,BLDG. NO.02,VISHAL CHS OSHIWARA PARK,OSHIWARA LINK RD,JOGESHWARI W",
OPULENCE FOODS,1234567888,opulencefood@gmail.com,,,,INDIA,Maharashtra,400104,"G 2031 RUSTOMJEE EAZE ZONE,NEAR GOREGAON MTNL,GOREGAON WEST",
BEST MARKETING,9819235440,,,27AFTPK6826J1ZR,,INDIA,Maharashtra,,"SIDDHIVINAYAK CHAWL, ROOM NO 3,NEAR HANUMAN NAGAR,HANJAR NAGAR RD,PUMP HOUSE ,ANDHERI",
SAI MARKETING,9324206327,saimarketinga1@gmail.com,,27ALGPD5253P1ZR,,INDIA,Maharashtra,400010,"PLOT NO.71,MANOHAR BLDG H.K.MARG,MAZGAON",
SAYAJI FOODS PRIVATE LIMITED,68313131,sales@sayajifoods.com,,27AAFCB9987P1ZJ,,INDIA,Maharashtra,400701,"R-701 PART, TTC INDUSTRIAL AREA MIDC,REBALE,NAVI MUMBAI",
TOSHNIWAL TRADERS,1234567777,,,27AANFM9844R1Z2,,INDIA,Maharashtra,400060,"B-6,HEMA INDUSTRIAL ESTATE,SARVODAYA NAGAR,NR.MEGHWADI POLICE STATION, JOGESHWARI EAST",
NASEEB ENTERPRISES,1234123400,naseebenterprises.bhiwandi@gmail.com,,27AAMFN0933H1Z7,,INDIA,Maharashtra,421302,"A14/19,GR FLOOR,HARIHAR CORP,DAPODA VILLAGE BHIWANDI",
SUBHRA VICTUS SOLUTIONS,2242669925,subhravictussolutions@gmail.com,,27ACYPJ0718N2ZX,,INDIA,Maharashtra,400101,"B-34,SHREE BALAJI INDL ESTATE,HANUMAN NAGAR,AKURLI ROAD,KANDIVALI EAST",
J.P. ENTERPRISES,9867188035,dinesh.jp26@rediffmill.com,,27AFUPK9760Q1Z5,,INDIA,Maharashtra,400104,"19/156,GRD FLOOR,UNNAT NAGAR ,MG ROAD, GOREGAON WEST",
ISCON BALAJI FOODS PVT LTD,1122450,,,27SSCCI8381H1ZA,,INDIA,Maharashtra,410208,C-09/09 WETSERN SUPER FRESH CORPORATION NEXT TO JAY CONTAINER,
SHREE ASHAPURA AGENCY,9869767327,mayur_nbhanushali@yahoo.com,,27AJZPB8903F1ZW,,INDIA,Maharashtra,400093,"GALA NO 41,DAMJI SHAMJI INDS ESTATE MAHAKALI ROAD,ANDHERI E",
VAIBHAV PROCESSES FOOD,1231231230,jainm2820@gmail.com,,27AAEPJ2904J1ZU,,INDIA,Maharashtra,,"SHANTI SAGAR,CO-OP HOUSING SOCIETY,A-19,1ST FLOOR,5TH ROAD,KHAR WEST",
METRO CASH AND CARRY INDIA LTD.,1023456789,,,27AACCM4684P1ZR,,INDIA,Maharashtra,400066,"COM BDG NO5,CTS S.NO.163 A & 165,DATTAPADA RD,VILLAGE MAGATHANE,BORIVALI E",
M/S. MULTIPRODUCTS CORPORATION,2220812285,multiproductscorporation@gmail.com,,27AAVFM3835G1ZU,,INDIA,Maharashtra,400078,"105 P.N.KOTHARI INDUSTRIAL ESTATE, L.B.S.ROAD,BHANDUP WEST",
HOLY-LAND MARKETING PVT. LTD.,2241310440,,,27AAACH1632E1Z3,,INDIA,Maharashtra,421302,"GALA NO 119-122,AC UNIT,SHREE RAJLAXMI COMPLEX,KALHER,BHIWANDI,DIST.THANE-421302",
KNOWLEDGE FOODS PVT.LTD.,100001000,,,27AAGCK6449J1Z2,,INDIA,Maharashtra,410201,"SR.NO.15/2,VILLAGE SALOKH TARFE WAREDI,POST-KALAMB,TAL-KARJAT,DIST-RAIGAD",
STAR IMPEX,9833658479,info@starimpex.net,,27AESFS6470C1ZM,,INDIA,Maharashtra,400003,"GROUND FLOOR,SHOP NO 3,ZOHRA MANZIL,KHOZA STREET,X LANE,NULL BAZAR,MUMBAI",
MONOMOZO,9819891463,monomozobandra@gmail.com,,27AALPF6235H1ZO,,INDIA,Maharashtra,400050,SHOP NO 14 NEW JALDARSHAN CHIMBAI RD BANDRA W,
SKYLINE TRADING COMPANY,9773391034,,,27AAXPF5695B1ZA,,INDIA,Maharashtra,400705,"D29/13,TTC INDUSTRIAL AREA, MIDC,TURBHE,NAVI MUMBAI",
MARS INTERNATIONAL,9322133838,marsinternational1407@gmail.com,,27ACAFM9113C1ZK,,INDIA,Maharashtra,421302,"BLDG.NO.C-11,GALA NO.38,GR FLOOR,H NO.914,BHUMI WORLD INDUSTRIAL PARK,PIMPLAS BHIWANDI, THANE",
SHAHI PARATHA,7021932237,khanahmed.ak2000@gmail.com,,,,INDIA,Maharashtra,,mumbai,
KD FUTURE SOLUTIONS,9322231273,,,27AARFK1716E1ZC,,INDIA,Maharashtra,400050,SHOP NO 6 SANTADEEP CHS LTD . T.PS III BANDRA WEST,
JONOR FOODS,9987690805,,,,,INDIA,Maharashtra,400058,81-C GILBERT HILLOPP GIT DARSHAN  NEAR BHAWANCOLLEGE ANDHERI -WEST,
